Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
28,28,10,1995-05-28,NJD,@,PIT,W 4-1,1-0-0,60:00,1,31,32,0.969,0,0,0,0,1,1,1.0,1.0,195.89999999999998,97.94999999999999,1995
29,29,11,1995-06-03,NJD,@,PHI,W 4-1,1-0-0,60:00,1,20,21,0.952,4,0,0,0,1,1,1.0,1.0,194.2,97.1,1995
30,30,12,1995-06-05,NJD,@,PHI,W 5-2,1-0-0,60:00,2,18,20,0.9,0,0,0,0,1,1,2.0,1.0,188.0,94.0,1995
31,31,13,1995-06-07,NJD,,PHI,L 2-3 (OT),0-1-0,64:19,3,22,25,0.88,0,0,0,0,0,1,3.0,0.0,85.0,42.5,1995
32,32,14,1995-06-10,NJD,,PHI,L 2-4,0-1-0,52:15,4,13,17,0.765,0,0,0,0,0,1,4.0,0.0,72.5,36.25,1995
33,33,15,1995-06-11,NJD,@,PHI,W 3-2,1-0-0,60:00,2,16,18,0.889,0,0,0,0,1,1,2.0,1.0,186.9,93.45,1995
34,34,16,1995-06-13,NJD,,PHI,W 4-2,1-0-0,60:00,2,14,16,0.875,0,0,0,0,1,1,2.0,1.0,185.5,92.75,1995
35,35,17,1995-06-17,NJD,@,DET,W 2-1,1-0-0,60:00,1,16,17,0.941,0,0,0,0,1,1,1.0,1.0,193.1,96.55,1995
36,36,18,1995-06-20,NJD,@,DET,W 4-2,1-0-0,60:00,2,16,18,0.889,2,0,0,0,1,1,2.0,1.0,186.9,93.45,1995
37,37,19,1995-06-22,NJD,,DET,W 5-2,1-0-0,60:00,2,22,24,0.917,0,0,0,0,1,1,2.0,1.0,189.7,94.85,1995
38,38,20,1995-06-24,NJD,,DET,W 5-2,1-0-0,60:00,2,14,16,0.875,0,0,0,0,1,1,2.0,1.0,185.5,92.75,1995
39,39,1,1997-04-17,NJD,,MTL,W 5-2,1-0-0,59:56,2,28,30,0.933,0,1,0,1,1,1,2.0,1.0,191.3,95.65,1997
40,40,2,1997-04-19,NJD,,MTL,W 4-1,1-0-0,59:57,1,21,22,0.955,0,0,0,0,1,1,1.0,1.0,194.5,97.25,1997
41,41,3,1997-04-22,NJD,@,MTL,W 6-4,1-0-0,60:00,4,21,25,0.84,0,0,0,0,1,1,4.0,1.0,180.0,90.0,1997
42,42,4,1997-04-24,NJD,@,MTL,L 3-4 (OT),0-1-0,107:15,4,37,41,0.902,0,0,0,0,0,1,4.0,0.0,86.2,43.1,1997
43,43,5,1997-04-26,NJD,,MTL,W 4-0,1-0-0,59:33,0,24,24,1.0,0,0,0,0,1,1,0.0,1.0,200.0,100.0,1997
